app_version,bank,app_version_negative_complaints
1.26.0,Metrobank,545
unknown,Metrobank,508
18.1,BPI,506
18.0,BPI,502
1.28.0,Metrobank,406
1.30.0,Metrobank,284
unknown,BDO,268
1.17.5,BDO,251
unknown,BPI,237
1.30.1,Metrobank,225
1.27.0,Metrobank,217
unknown,UnionBank,210
2.61.0,UnionBank,197
1.18.0,BDO,170
1.26.1,Metrobank,169
1.18.1,BDO,169
1.24.0,Metrobank,163
1.17.6,BDO,121
2.63.1,UnionBank,93
1.29.0,Metrobank,92
26.20.1,BDO,81
2.63.2,UnionBank,81
18.2,BPI,81
2.63.4,UnionBank,75
2.60.1,UnionBank,74
2.62.8,UnionBank,64
26.21.0,BDO,62
2.61.3,UnionBank,53
2.62.5,UnionBank,46
2.62.1,UnionBank,42
2.59.2,UnionBank,41
2.59.6,UnionBank,41
26.20.0,BDO,35
26.19.1,BDO,35
17.1,BPI,21
1.17.4,BDO,15
1.23.1,Metrobank,6
1.22.2,Metrobank,5
1.20.1,Metrobank,5
1.16.1,Metrobank,5
2.58.4,UnionBank,4
15.0,BPI,4
1.10.0,BDO,4
1.23.0,Metrobank,4
1.22.1,Metrobank,4
14.0,BPI,4
9.0,BPI,3
2.54.8,UnionBank,3
13.3,BPI,3
1.17.0,BDO,3
2.55.1,UnionBank,3
1.14.1,BDO,2
1.16.2,BDO,2
16.4,BPI,2
2.54.5,UnionBank,2
2.54.3,UnionBank,2
1.9.0,BDO,2
1.12.0,Metrobank,2
1.9.2,Metrobank,2
1.8.1,Metrobank,2
13.0,BPI,2
2.58.2,UnionBank,2
2.57.0,UnionBank,2
1.10.5,Metrobank,2
1.15.3,BDO,2
1.17.0,Metrobank,1
1.10.3,Metrobank,1
1.6.3,Metrobank,1
1.13.0,BDO,1
1.17.2,BDO,1
1.15.1,BDO,1
2.27.4,UnionBank,1
8.0,BPI,1
12.0,BPI,1
1.9.4,Metrobank,1
2.30.2,UnionBank,1
1.17.3,BDO,1
3.0,BPI,1
2.57.12,UnionBank,1
1.3,BPI,1
1.10.4,Metrobank,1
1.14.1,Metrobank,1
1.9.1,Metrobank,1
16.1,BPI,1
1.20.0,Metrobank,1
1.16.0,BDO,1
1.10.2,Metrobank,1
5.0,BPI,1
2.57.8,UnionBank,1
2.53.5,UnionBank,1
6.0,BPI,1
1.9.5,Metrobank,1
11.0,BPI,1
7.3,BPI,1
1.10.1,Metrobank,1
2.52.4,UnionBank,1
1.4.0,BDO,1
2.50.4,UnionBank,1
1.6.0,Metrobank,1
1.11.1,BDO,0
2.57.9,UnionBank,0
2.45.4,UnionBank,0
13.1,BPI,0
2.57.5,UnionBank,0
2.47.4,UnionBank,0
1.9.3,Metrobank,0
2.51.2,UnionBank,0
2.51.4,UnionBank,0
2.40.14,UnionBank,0
2.46.2,UnionBank,0
2.39.0,UnionBank,0
2.29.2,UnionBank,0
