month,bank,total_reviews,negative_reviews,negative_pct
2025-08,BDO,214,150,70.1
2025-09,BDO,179,144,80.4
2025-10,BDO,205,172,83.9
2025-11,BDO,159,113,71.1
2025-12,BDO,96,77,80.2
2026-01,BDO,133,107,80.5
2026-02,BDO,113,64,56.6
2026-03,BDO,100,62,62.0
2026-04,BDO,86,56,65.1
2026-05,BDO,405,55,13.6
2026-06,BDO,275,46,16.7
2026-07,BDO,460,82,17.8
2026-08,BDO,514,82,16.0
2026-09,BDO,61,18,29.5
2026-06,BPI,1079,737,68.3
2026-07,BPI,1148,421,36.7
2026-08,BPI,657,176,26.8
2026-09,BPI,116,40,34.5
2025-12,Metrobank,64,57,89.1
2026-01,Metrobank,232,211,90.9
2026-02,Metrobank,292,252,86.3
2026-03,Metrobank,321,278,86.6
2026-04,Metrobank,470,431,91.7
2026-05,Metrobank,358,329,91.9
2026-06,Metrobank,310,249,80.3
2026-07,Metrobank,295,261,88.5
2026-08,Metrobank,551,497,90.2
2026-09,Metrobank,107,93,86.9
2025-11,UnionBank,86,27,31.4
2025-12,UnionBank,248,100,40.3
2026-01,UnionBank,305,100,32.8
2026-02,UnionBank,398,190,47.7
2026-03,UnionBank,279,95,34.1
2026-04,UnionBank,225,71,31.6
2026-05,UnionBank,266,83,31.2
2026-06,UnionBank,373,154,41.3
2026-07,UnionBank,349,86,24.6
2026-08,UnionBank,409,124,30.3
2026-09,UnionBank,62,12,19.4
